CGD:DEHA2G12584g	DEHA2G12584g	GO:0036178|GO:1903561|GO:0036244|GO:0036168|GO:0019904|GO:0036180|GO:1900442|GO:1900445|GO:0009405|GO:0005886|GO:0009986|GO:0001410|GO:0044182|GO:0006109|GO:0030447|GO:0034605|GO:0071216|GO:0030445
CGD:DEHA2C03674g	DEHA2C03674g	GO:0055114|GO:0004764
CGD:DEHA2E01694g	DEHA2E01694g	GO:0030170|GO:0003824|GO:0008152|GO:0062040
CGD:DEHA2B11792g	DEHA2B11792g	GO:0000166
CGD:DEHA2F25388g	DEHA2F25388g	GO:0000166|GO:0005524|GO:0003677|GO:0017111
CGD:DEHA2C16082g	DEHA2C16082g	GO:0005789|GO:0006506|GO:0016746|GO:0016021|GO:0032216
CGD:DEHA2E07898g	DEHA2E07898g	GO:0008168|GO:0006412
CGD:DEHA2G00616g	DEHA2G00616g	GO:0055085|GO:0022857|GO:0035690|GO:0016021|GO:0009405|GO:0008645
CGD:DEHA2E13706g	DEHA2E13706g	GO:0003677|GO:0003700|GO:0000083|GO:0006355
CGD:DEHA2G02662g	DEHA2G02662g	GO:0003735|GO:0005840|GO:0009986|GO:0006412
CGD:DEHA2D08734g	DEHA2D08734g	GO:0003824|GO:0050660|GO:0016491|GO:0055114|GO:0008762
CGD:DEHA2A02046g	DEHA2A02046g	GO:0007154|GO:0035091
CGD:DEHA2F10780g	DEHA2F10780g	GO:0038032
CGD:DEHA2B01870g	DEHA2B01870g	GO:0030448|GO:0031505|GO:0030139|GO:0007033|GO:0000920|GO:0005774|GO:0006897|GO:0005576|GO:0001411
CGD:DEHA2G20438g	DEHA2G20438g	GO:0005525
CGD:DEHA2F15466g	DEHA2F15466g	GO:0005524|GO:0004713|GO:0004672|GO:0072665|GO:0042147|GO:0006468|GO:0009405
CGD:DEHA2C11528g	DEHA2C11528g	GO:1903561|GO:0009277|GO:0044114|GO:0044117|GO:0005576|GO:0046658|GO:0044182|GO:0030447|GO:0030428|GO:0003824|GO:0030446|GO:0030445|GO:0044407|GO:0044406|GO:0044409|GO:0035690|GO:0042123|GO:0009405|GO:0005886|GO:0009986|GO:0005621|GO:0031505|GO:0005975|GO:0044011|GO:0045121|GO:0071467|GO:0033101|GO:0031589
CGD:DEHA2G09394g	DEHA2G09394g	GO:0003824
CGD:DEHA2B06556g	DEHA2B06556g	GO:0009013|GO:0016491|GO:0009450|GO:0008152|GO:0055114|GO:0016620
