Q6BXG1	DEHA2B03300g
Q6BQ18	DEHA2E09064g
Q6BXH8	DEHA2B02904g
Q6BPN4	DEHA2E12188g
Q6BU94	DEHA2C12650g
Q6BP45	DEHA2E16632g
A9RAG5	
Q6BSA9	DEHA2D10252g
Q6BIP2	DEHA2G08800g
Q6BVB8	DEHA2C03894g
A9RAG2	
Q6BVE3	DEHA2C03278g
Q6BUX2	DEHA2C07238g
Q6BTA4	DEHA2D02266g
Q6BUN9	DEHA2C09262g
Q6BLU9	DEHA2F10538g
Q6BJ51	DEHA2G05148g
Q6BIT1	DEHA2G07876g
Q6BXM5	DEHA2B01804g
A9RAH8	
Q6BKZ1	DEHA2F17710g
Q6BK00	DEHA2F26026g
Q6BVN0	DEHA2C01320g
Q6BUS9	DEHA2C08338g
Q6BN05	DEHA2F01210g
Q6BZG3	DEHA2A01562g
Q6BML1	DEHA2F04466g
Q6BNN2	DEHA2E20372g
Q6BNC2	DEHA2E22968g
Q6BKI1	DEHA2F21824g
Q6BJM5	DEHA2G01320g
Q6BNI6	DEHA2E21384g
Q6BKC2	DEHA2F23188g
Q6BQT6	DEHA2E02332g
Q6BK59	DEHA2F24640g
Q6BKL7	DEHA2F20834g
Q6BWL0	DEHA2B10494g
Q6BPA9	DEHA2E15092g
Q6BLQ3	DEHA2F11616g
Q6BJJ8	DEHA2G01892g
Q6BTZ6	DEHA2C14718g
Q6BJ94	DEHA2G04158g
Q6BXC3	DEHA2B04246g
B4F4L0	
B4F4R2	
B4F4R4	
Q96V80	
B4F4L3	
B4F4N4	
A9RAH2	
A9RAG9	
Q6BIF0	DEHA2G11000g
Q6BXG6	DEHA2B03190g
Q6BKT4	DEHA2F19382g
Q6BN88	DEHA2E23738g
Q6BND2	DEHA2E22726g
Q6BRE5	DEHA2D17028g
Q6BI17	DEHA2G14124g
Q6BP80	DEHA2E15796g
Q6BYE5	DEHA2A10186g
Q6BK77	DEHA2F24200g
Q6BT31	DEHA2D03960g
Q6BSD4	DEHA2D09702g
Q6BW08	DEHA2B15224g
Q6BLT6	DEHA2F10846g
Q6BMV1	DEHA2F02420g
Q6BI94	DEHA2G12496g
Q6BQ59	DEHA2E08096g
Q6BH64	DEHA2G21032g
Q6BP51	DEHA2E16500g
B5RV41	DEHA2G06204g
Q6BIA9	DEHA2G12210g
Q6BYJ9	DEHA2A08976g
Q6BJI9	DEHA2G02090g
Q6BTS6	DEHA2C16236g
Q6BRC2	DEHA2D17512g
Q6BLD4	DEHA2F14366g
Q6BPA5	DEHA2E15180g
Q6BRF2	DEHA2D16830g
B5RUS1	DEHA2G13398g
Q6BYU6	DEHA2A06864g
W0TYU2	DEHA2F26400g
Q6BYI3	DEHA2A09350g
Q6BXD4	DEHA2B03960g
Q6BJG2	DEHA2G02662g
Q6BYZ1	DEHA2A05874g
Q6BZB0	DEHA2A02750g
Q6BGT0	DEHA2G24178g
B5RV40	DEHA2G06050g
Q6BNC6	DEHA2E22880g
Q6BND3	DEHA2E22704g
B5RT73	DEHA2C04862g
Q6BJ01	DEHA2G06270g
Q6BHL9	DEHA2G17578g
Q6BPU9	DEHA2E10670g
Q6BMG4	DEHA2F05654g
Q6BQW0	DEHA2E01826g
Q6BKW5	DEHA2F18656g
Q6BHE6	DEHA2G19228g
Q6BWV9	DEHA2B08118g
B5RU49	DEHA2E21340g
Q6BIS6	DEHA2G07986g
Q6BT36	DEHA2D03850g
Q6BKQ6	DEHA2F19998g
Q6BYD0	DEHA2A10494g
Q6BQN7	DEHA2E03652g
B5RT78	DEHA2C05434g
Q6BH23	DEHA2G21956g
Q6BSV7	DEHA2D05676g
B5RSQ9	DEHA2A05852g
Q6BX64	DEHA2B05632g
Q6BKR2	DEHA2F19822g
Q6BSC0	DEHA2D10010g
B5RT70	DEHA2C03212g
Q6BJ54	DEHA2G05082g
Q6BX39	DEHA2B06204g
Q6BRP5	DEHA2D14828g
Q6BSN8	DEHA2D07392g
Q6BRH7	DEHA2D16280g
Q6BZH2	DEHA2A01342g
Q6BRK3	DEHA2D15708g
Q6BV88	DEHA2C04510g
B5RUI3	DEHA2F16808g
Q6BIH4	DEHA2G10384g
Q6BRU5	DEHA2D13750g
Q6BQK2	DEHA2E04554g
Q6BNK5	DEHA2E20988g
Q6BMP6	DEHA2F03652g
Q6BTS3	DEHA2C16302g
B5RT40	DEHA2B03674g
Q6BHJ1	DEHA2G18150g
Q6BVN6	DEHA2C01210g
Q6BUU8	DEHA2C07854g
Q6BSZ0	DEHA2D04928g
Q6BQE8	DEHA2E05742g
Q6BNA3	DEHA2E23408g
Q6BPR4	DEHA2E11440g
Q6BU91	DEHA2C12716g
Q6BJS9	DEHA2G00264g
B5RSW2	DEHA2B14377g
Q6BSJ5	DEHA2D08382g
Q6BJV1	DEHA2F27192g
Q6BHW0	DEHA2G15378g
Q6BXR5	DEHA2B00836g
B5RTL1	DEHA2D18106g
B5RUV6	DEHA2G19426g
Q6BSR9	DEHA2D06732g
B5RTU4	DEHA2E03938g
B5RSZ9	DEHA2B13222g
B5RTX5	DEHA2E08184g
Q6BSX5	DEHA2D05258g
Q6BWE4	DEHA2B11990g
Q6BV44	DEHA2C05478g
Q6BYM9	DEHA2A08316g
B5RTN8	DEHA2D19294g
Q6BWZ0	DEHA2B07370g
Q6BQ91	DEHA2E07326g
Q6BI40	DEHA2G13640g
Q6BVL3	DEHA2C01716g
B5RUF7	DEHA2F12870g
Q6BS40	DEHA2D11770g
B5RT92	DEHA2C08866g
Q6BUZ3	DEHA2C06688g
Q6BTT6	DEHA2C16016g
Q6BLL1	DEHA2F12606g
Q6BMA7	DEHA2F07062g
Q6BVU3	DEHA2B16676g
Q6BYL9	DEHA2A08558g
B5RU13	DEHA2E14102g
B5RU75	DEHA2F00308g
Q6BI38	DEHA2G13684g
Q6BLR2	DEHA2F11374g
B5RUR0	DEHA2G11594g
Q6BZE8	DEHA2A01914g
Q6BSS4	DEHA2D06622g
Q6BN14	DEHA2F01034g
Q6BID1	DEHA2G11792g
Q6BTU0	DEHA2C15928g
Q6BWH9	DEHA2B11242g
B5RUG5	DEHA2F14124g
Q6BTJ0	DEHA2D00242g
Q6BZK2	DEHA2A00704g
Q6BNR8	DEHA2E19470g
Q6BN74	DEHA2E24068g
Q6BGN0	DEHA2G25124g
Q6BN60	DEHA2E24354g
Q6BGS7	DEHA2G24266g
Q6BSG0	DEHA2D09108g
Q6BZ19	DEHA2A05258g
Q6BRW5	DEHA2D13376g
Q6BTF8	DEHA2D00968g
Q6BXG4	DEHA2B03234g
Q6BXY5	DEHA2A13904g
Q6BXY4	DEHA2A13926g
Q6BRS3	DEHA2D14234g
Q6BU02	DEHA2C14586g
Q6BRX7	DEHA2D13090g
Q6BIA6	DEHA2G12254g
Q6BHZ3	DEHA2G14674g
Q6BXX0	DEHA2A14256g
Q6BKQ2	DEHA2F20086g
Q6BXR9	DEHA2B00748g
W0TYU3	DEHA2F26532g
Q6BW79	DEHA2B13662g
Q6BTI4	DEHA2D00352g
Q6BL93	DEHA2F15356g
Q6BNS4	DEHA2E19338g
Q6BGR5	DEHA2G24486g
Q6BM70	DEHA2F07854g
Q6BM49	DEHA2F08316g
Q6BWI0	DEHA2B11220g
Q6BK15	DEHA2F25696g
B5RTR2	DEHA2D05390g
Q6BJ27	DEHA2G05698g
Q6BV93	DEHA2C04400g
Q6BLL0	DEHA2F12628g
Q6BTH6	DEHA2D00550g
Q6BH30	DEHA2G21802g
B5RU12	DEHA2E13772g
Q6BKL5	DEHA2F20878g
Q6BYE8	DEHA2A10120g
Q6BMJ6	DEHA2F04884g
Q6BT63	DEHA2D03212g
Q6BRR9	DEHA2D14322g
Q6BUY2	DEHA2C07018g
Q6BQA6	DEHA2E06996g
Q6BUN7	DEHA2C09306g
Q6BSX6	DEHA2D05236g
Q6BW10	DEHA2B15180g
Q6BJA1	DEHA2G04004g
Q6BTC1	DEHA2D01848g
Q6BQG2	DEHA2E05500g
Q6BR19	DEHA2E00550g
Q6BHQ1	DEHA2G16764g
Q6BIQ1	DEHA2G08580g
Q6BZN0	DEHA2A00220g
Q6BHK1	DEHA2G17952g
Q6BGX3	DEHA2G23144g
Q6BS10	DEHA2D12408g
Q6BJL9	DEHA2G01430g
Q6BUV7	DEHA2C07612g
Q6BXH5	DEHA2B02970g
Q6BIE7	DEHA2G11066g
Q6BJB4	DEHA2G03718g
Q6BJH0	DEHA2G02464g
Q6BTL7	DEHA2C17490g
Q6BVJ0	DEHA2C02266g
Q6BQB4	DEHA2E06842g
Q6BPI4	DEHA2E13376g
Q6BV50	DEHA2C05324g
B5RTW8	DEHA2E07480g
B5RUL5	DEHA2F22000g
Q6BRG7	DEHA2D16500g
Q6BUA2	DEHA2C12474g
Q6BSH7	DEHA2D08734g
Q6BXI8	DEHA2B02596g
Q6BLB5	DEHA2F14850g
Q6BMB4	DEHA2F06842g
Q6BKY7	DEHA2F17798g
Q6BWK8	DEHA2B10538g
Q6BWX0	DEHA2B07876g
Q6BJK1	DEHA2G01826g
B5RUK7	DEHA2F21230g
Q6BKD2	DEHA2F22924g
Q6BS41	DEHA2D11748g
Q6BRA5	DEHA2D17908g
Q6BIM6	DEHA2G09152g
Q6BGR2	DEHA2G24552g
Q6BYT6	DEHA2A07084g
Q6BT25	DEHA2D04092g
B5RTN3	DEHA2D19030g
Q6BUK0	DEHA2C10010g
B5RTS1	DEHA2E00154g
Q6BT01	DEHA2D04664g
Q6BQ29	DEHA2E08822g
Q6BH67	DEHA2G20966g
Q6BYL2	DEHA2A08712g
Q6BKT5	DEHA2F19360g
Q6BWL4	DEHA2B10406g
B5RTV1	DEHA2E04466g
Q6BMT5	DEHA2F02772g
B5RTA6	DEHA2C12452g
B5RUP6	DEHA2G10186g
Q6BZ02	DEHA2A05632g
Q6BXQ7	DEHA2B01078g
Q6BWQ3	DEHA2B09548g
Q6BVJ7	DEHA2C02112g
B5RT11	DEHA2B07942g
Q6BLP9	DEHA2F11704g
B5RV34	DEHA2G04532g
B5RU89	DEHA2F04334g
B5RT74	DEHA2C04994g
Q6BWK7	DEHA2B10560g
Q6BT75	DEHA2D02948g
Q6BLE6	DEHA2F14058g
Q6BGV6	DEHA2G23584g
B5RTW3	DEHA2E06006g
Q6BK93	DEHA2F23826g
B5RU59	DEHA2E23144g
Q6BJQ1	DEHA2G00836g
Q6BJL3	DEHA2G01562g
B5RUE8	DEHA2F11968g
Q6BK20	DEHA2F25564g
Q6BY55	DEHA2A12276g
Q6BU96	DEHA2C12606g
Q6BLD5	DEHA2F14344g
Q6BLM2	DEHA2F12320g
Q6BLY4	DEHA2F09790g
B5RTL2	DEHA2D18150g
Q6BVS2	DEHA2C00330g
Q6BNW3	DEHA2E18524g
Q6BKF9	DEHA2F22286g
Q6BIW6	DEHA2G07062g
Q6BZ00	DEHA2A05676g
Q6BRT7	DEHA2D13926g
Q6BLR0	DEHA2F11418g
B5RUE0	DEHA2F10670g
Q6BKV0	DEHA2F19008g
Q6BLJ0	DEHA2F13046g
Q6BY66	DEHA2A12034g
Q6BPW8	DEHA2E10296g
Q6BQE3	DEHA2E05852g
Q6BV32	DEHA2C05764g
B5RTI9	DEHA2D15576g
Q6BNN5	DEHA2E20284g
Q6BUL2	DEHA2C09724g
Q6BW17	DEHA2B15048g
Q6BXN6	DEHA2B01540g
Q6BQ71	DEHA2E07810g
Q6BXS7	DEHA2B00572g
Q6BHQ8	DEHA2G16610g
Q6BW77	DEHA2B13706g
Q6BKH4	DEHA2F21956g
B5RV50	DEHA2G07502g
Q6BW47	DEHA2B14410g
Q6BJ91	DEHA2G04224g
Q6BU19	DEHA2C14234g
Q6BY12	DEHA2A13288g
Q6BM97	DEHA2F07260g
Q6BSV1	DEHA2D05808g
Q6BNE3	DEHA2E22462g
Q6BVW6	DEHA2B16148g
Q6BX69	DEHA2B05522g
Q6BXJ3	DEHA2B02486g
Q6BH44	DEHA2G21494g
B5RUT4	DEHA2G15334g
Q6BHM8	DEHA2G17336g
Q6BS30	DEHA2D11990g
Q6BHA4	DEHA2G20108g
Q6BPG5	DEHA2E13794g
Q6BKR4	DEHA2F19778g
B5RU26	DEHA2E16588g
Q6BIN5	DEHA2G08954g
Q6BTD0	DEHA2D01650g
Q6BX88	DEHA2B05038g
Q6BYL3	DEHA2A08690g
Q6BR73	DEHA2D18678g
B5RUW3	DEHA2G20064g
B5RTF9	DEHA2D09174g
B5RUZ2	DEHA2G22990g
B5RUP7	DEHA2G10252g
Q6BGT7	DEHA2G24046g
Q6BRN2	DEHA2D15092g
Q6BN82	DEHA2E23870g
Q6BSW3	DEHA2D05500g
Q6BST2	DEHA2D06446g
Q6BMY5	DEHA2F01650g
Q6BIX3	DEHA2G06908g
Q6BGP9	DEHA2G24838g
B5RTV9	DEHA2E05192g
Q6BPU4	DEHA2E10780g
B5RU87	DEHA2F03894g
Q6BWA4	DEHA2B13112g
Q6BXA8	DEHA2B04576g
Q6BY19	DEHA2A13134g
Q6BM69	DEHA2F07876g
Q6BYL1	DEHA2A08734g
Q6BJX8	DEHA2F26554g
Q6BYT8	DEHA2A07040g
Q6BNY7	DEHA2E17952g
Q6BJ37	DEHA2G05478g
Q6BR13	DEHA2E00660g
Q6BRC3	DEHA2D17490g
Q6BUV2	DEHA2C07744g
Q6BNG6	DEHA2E21912g
Q6BHP2	DEHA2G17028g
Q6BIQ5	DEHA2G08492g
Q6BUQ9	DEHA2C08778g
Q6BX19	DEHA2B06710g
Q6BPK6	DEHA2E12826g
Q6BHM3	DEHA2G17446g
Q6BL36	DEHA2F16676g
Q6BJL4	DEHA2G01540g
Q6BWY3	DEHA2B07524g
Q6BZH7	DEHA2A01232g
Q6BNE2	DEHA2E22484g
Q6BMW0	DEHA2F02200g
Q6BY80	DEHA2A11660g
Q6BK40	DEHA2F25102g
Q6BYC1	DEHA2A10714g
Q6BPC5	DEHA2E14740g
B5RSR0	DEHA2A06182g
Q6BWF8	DEHA2B11682g
Q6BRL5	DEHA2D15466g
Q6BKT8	DEHA2F19294g
B5RUQ8	DEHA2G11539g
Q6BRS5	DEHA2D14190g
Q6BY58	DEHA2A12210g
Q6BP16	DEHA2E17292g
Q6BLX5	DEHA2F09922g
Q6BSL9	DEHA2D07854g
Q6BJR7	DEHA2G00484g
Q6BJV9	DEHA2F26994g
Q6BPK0	DEHA2E12980g
B5RTH5	DEHA2D11946g
Q6BLA7	DEHA2F15048g
Q6BK82	DEHA2F24090g
Q6BJC8	DEHA2G03388g
Q6BVC4	DEHA2C03762g
B5RV12	DEHA2G01276g
Q6BJQ9	DEHA2G00660g
Q6BI14	DEHA2G14190g
Q6BTE4	DEHA2D01342g
Q6BNG8	DEHA2E21868g
Q6BUW9	DEHA2C07304g
Q6BP76	DEHA2E15906g
Q6BIP8	DEHA2G08646g
Q6BN62	DEHA2E24310g
Q6BS42	DEHA2D11726g
Q6BIZ2	DEHA2G06490g
Q6BPM4	DEHA2E12408g
Q6BJB9	DEHA2G03608g
Q6BZH3	DEHA2A01320g
Q6BXC1	DEHA2B04290g
Q6BX65	DEHA2B05610g
B5RTS3	DEHA2E00264g
Q6BR16	DEHA2E00594g
Q6BVP7	DEHA2C00990g
Q6BJE0	DEHA2G03124g
Q6BM75	DEHA2F07722g
Q6BUN1	DEHA2C09372g
Q6BZ25	DEHA2A05126g
B5RU36	DEHA2E18106g
Q6BWJ8	DEHA2B10758g
Q6BMZ0	DEHA2F01540g
Q6BIW0	DEHA2G07194g
Q6BLJ2	DEHA2F13002g
Q6BN93	DEHA2E23628g
Q6BM00	DEHA2F09438g
