Geneid	RNA STAR on 1MKCl3: mapped.bam
gene-DEHA2A12782g	18244
gene-DEHA2A12804g	2878
gene-DEHA2A12826g	2125
gene-DEHA2A12848g	3974
gene-DEHA2A12870g	18122
gene-DEHA2A12892g	4722
gene-DEHA2A12914g	1839
gene-DEHA2A12936g	17883
gene-DEHA2A12958g	7819
gene-DEHA2A12980g	2216
gene-DEHA2A13002g	4467
gene-DEHA2A13024g	3050
gene-DEHA2A13046g	3254
gene-DEHA2A13068g	45
gene-DEHA2A13090g	7451
gene-DEHA2A13112g	4524
gene-DEHA2A13134g	4697
gene-DEHA2A13156g	7757
gene-DEHA2A13178g	544
gene-DEHA2A13200g	81454
gene-DEHA2A13222g	506
gene-DEHA2A13244g	3152
gene-DEHA2A13266g	4132
gene-DEHA2A13288g	12399
gene-DEHA2A13310g	3636
gene-DEHA2A13332g	845
gene-DEHA2A13354g	805
gene-DEHA2A13376g	1339
gene-DEHA2A13398g	3069
gene-DEHA2A13420g	28189
gene-DEHA2A13442g	2665
gene-DEHA2A13464g	1169
gene-DEHA2A13486g	2486
gene-DEHA2A13508g	2029
gene-DEHA2A13530g	2184
gene-DEHA2A13552g	2053
gene-DEHA2A13574g	4577
gene-DEHA2A13596g	1749
gene-DEHA2A13618g	48918
gene-DEHA2A13640g	7301
gene-DEHA2A13662g	6192
gene-DEHA2A13684g	5545
gene-DEHA2A13706g	1582
gene-DEHA2A13728g	1683
gene-DEHA2A13750g	4986
gene-DEHA2A13772g	2154
gene-DEHA2A13794g	4095
gene-DEHA2A13816g	1417
gene-DEHA2A13838g	3762
gene-DEHA2A13860g	4515
gene-DEHA2A13882g	944
gene-DEHA2A13904g	7935
gene-DEHA2A13926g	3560
gene-DEHA2A13948g	1131
gene-DEHA2A13970g	4992
gene-DEHA2A13992g	6482
gene-DEHA2A14014g	19297
gene-DEHA2A14036g	5303
gene-DEHA2A14058g	12781
gene-DEHA2A14080g	2005
gene-DEHA2A14102g	966
gene-DEHA2A14124g	3128
gene-DEHA2A14146g	2066
gene-DEHA2A14168g	12595
gene-DEHA2A14190g	2305
gene-DEHA2A14212g	4486
gene-DEHA2A14234g	1415
gene-DEHA2A14256g	3933
gene-DEHA2A14278g	1435
gene-DEHA2A14300g	931
gene-DEHA2A14322g	57
gene-DEHA2A14344g	1986
gene-DEHA2A14366g	25723
gene-DEHA2A14388g	76864
gene-DEHA2A14410g	5978
gene-DEHA2A14498g	3
gene-DEHA2A14520g	23
gene-DEHA2A14542g	2057
gene-DEHA2A14586g	3168
gene-DEHA2A14608g	1822
gene-DEHA2A14630g	17
gene-DEHA2A14652g	571
gene-DEHA2A14674g	3
gene-DEHA2A14696g	43615
gene-DEHA2A14718g	2255
gene-DEHA2A14740g	9
gene-DEHA2A14762g	2
gene-DEHA2A14784g	0
gene-DEHA2A14806g	4
gene-DEHA2A14828g	2
gene-DEHA2B00110g	20179
gene-DEHA2B00132g	18244
gene-DEHA2B00154g	5
gene-DEHA2B00176g	15
gene-DEHA2B00198g	26
gene-DEHA2B00220g	386
gene-DEHA2B00242g	3
gene-DEHA2B00264g	3
gene-DEHA2B00286g	10
gene-DEHA2B00308g	203
gene-DEHA2B00330g	5
gene-DEHA2B00352g	322
gene-DEHA2B00374g	835
gene-DEHA2B00396g	2609
gene-DEHA2B00418g	603
gene-DEHA2B00440g	42
gene-DEHA2B00462g	84
gene-DEHA2B00484g	114
gene-DEHA2B00506g	832
gene-DEHA2B00528g	3274
gene-DEHA2B00550g	566
gene-DEHA2B00572g	46
gene-DEHA2B00594g	956
gene-DEHA2B00616g	1878
gene-DEHA2B00638g	3866
gene-DEHA2B00660g	11398
gene-DEHA2B00682g	4474
gene-DEHA2B00704g	1899
gene-DEHA2B00726g	2965
gene-DEHA2B00748g	1321
gene-DEHA2B00770g	1993
gene-DEHA2B00792g	2137
gene-DEHA2B00814g	11041
gene-DEHA2B00836g	27
gene-DEHA2B00858g	9160
gene-DEHA2B00880g	334
gene-DEHA2B00902g	33673
gene-DEHA2B00924g	3106
gene-DEHA2B00946g	5809
gene-DEHA2B00968g	6982
gene-DEHA2B00990g	448
gene-DEHA2B01012g	10594
gene-DEHA2B01034r	13
gene-DEHA2B01056g	20
gene-DEHA2B01078g	737
