Geneid	RNA STAR on 1MNaCl2: mapped.bam
gene-DEHA2A10824g	2742
gene-DEHA2A10846g	1459
gene-DEHA2A10868g	3642
gene-DEHA2A10890g	3359
gene-DEHA2A10912g	3816
gene-DEHA2A10934g	2409
gene-DEHA2A10956g	8808
gene-DEHA2A10978g	5820
gene-DEHA2A11000g	1969
gene-DEHA2A11022g	98
gene-DEHA2A11044g	77701
gene-DEHA2A11066g	3499
gene-DEHA2A11088g	1408
gene-DEHA2A11110g	7652
gene-DEHA2A11132g	1713
gene-DEHA2A11154g	77
gene-DEHA2A11176g	6
gene-DEHA2A11198g	39401
gene-DEHA2A11220g	6396
gene-DEHA2A11242g	6204
gene-DEHA2A11264g	989
gene-DEHA2A11286g	1662
gene-DEHA2A11308g	4277
gene-DEHA2A11330g	19
gene-DEHA2A11352g	1470
gene-DEHA2A11374g	6708
gene-DEHA2A11396g	2620
gene-DEHA2A11418g	1403
gene-DEHA2A11440g	5480
gene-DEHA2A11462g	2181
gene-DEHA2A11484g	34
gene-DEHA2A11506g	10935
gene-DEHA2A11528g	10891
gene-DEHA2A11550g	4394
gene-DEHA2A11572g	3228
gene-DEHA2A11594g	3960
gene-DEHA2A11616g	2155
gene-DEHA2A11638g	3064
gene-DEHA2A11660g	19008
gene-DEHA2A11682g	847
gene-DEHA2A11704g	2507
gene-DEHA2A11726r	0
gene-DEHA2A11748r	0
gene-DEHA2A11770r	1
gene-DEHA2A11792g	6107
gene-DEHA2A11814g	3071
gene-DEHA2A11836g	2639
gene-DEHA2A11858g	11493
gene-DEHA2A11880g	3025
gene-DEHA2A11902g	3512
gene-DEHA2A11924g	1863
gene-DEHA2A11946g	8795
gene-DEHA2A11968g	3392
gene-DEHA2A11990g	1183
gene-DEHA2A12012g	2370
gene-DEHA2A12034g	2370
gene-DEHA2A12056g	4028
gene-DEHA2A12078g	1803
gene-DEHA2A12100g	11312
gene-DEHA2A12122g	2600
gene-DEHA2A12144g	35888
gene-DEHA2A12166g	1483
gene-DEHA2A12188g	6
gene-DEHA2A12210g	12329
gene-DEHA2A12232g	1785
gene-DEHA2A12254g	688
gene-DEHA2A12276g	5546
gene-DEHA2A12298g	1675
gene-DEHA2A12320g	14
gene-DEHA2A12342g	367
gene-DEHA2A12364g	862
gene-DEHA2A12386g	16
gene-DEHA2A12408g	0
gene-DEHA2A12430g	2912
gene-DEHA2A12452g	1783
gene-DEHA2A12474g	1722
gene-DEHA2A12496g	4838
gene-DEHA2A12518g	1722
gene-DEHA2A12540g	20905
gene-DEHA2A12562g	1043
gene-DEHA2A12584g	1807
gene-DEHA2A12606g	4645
gene-DEHA2A12628g	6864
gene-DEHA2A12650g	1485
gene-DEHA2A12672g	3238
gene-DEHA2A12694g	4829
gene-DEHA2A12716g	0
gene-DEHA2A12738g	3319
gene-DEHA2A12760g	771
gene-DEHA2A12782g	20841
gene-DEHA2A12804g	2607
gene-DEHA2A12826g	2607
gene-DEHA2A12848g	4118
gene-DEHA2A12870g	13014
gene-DEHA2A12892g	4241
gene-DEHA2A12914g	2089
gene-DEHA2A12936g	14830
gene-DEHA2A12958g	15513
gene-DEHA2A12980g	2338
gene-DEHA2A13002g	3915
gene-DEHA2A13024g	2210
gene-DEHA2A13046g	2797
gene-DEHA2A13068g	32
gene-DEHA2A13090g	6860
gene-DEHA2A13112g	3657
gene-DEHA2A13134g	6948
gene-DEHA2A13156g	6834
gene-DEHA2A13178g	383
gene-DEHA2A13200g	67421
gene-DEHA2A13222g	526
gene-DEHA2A13244g	2274
gene-DEHA2A13266g	2921
gene-DEHA2A13288g	12732
gene-DEHA2A13310g	3334
gene-DEHA2A13332g	839
gene-DEHA2A13354g	599
gene-DEHA2A13376g	1038
gene-DEHA2A13398g	2903
gene-DEHA2A13420g	25557
gene-DEHA2A13442g	1922
gene-DEHA2A13464g	1061
gene-DEHA2A13486g	1866
gene-DEHA2A13508g	2079
gene-DEHA2A13530g	1537
gene-DEHA2A13552g	1807
gene-DEHA2A13574g	3373
gene-DEHA2A13596g	1541
gene-DEHA2A13618g	37387
gene-DEHA2A13640g	7435
gene-DEHA2A13662g	5291
gene-DEHA2A13684g	5068
gene-DEHA2A13706g	1588
gene-DEHA2A13728g	1601
gene-DEHA2A13750g	4662
gene-DEHA2A13772g	1628
gene-DEHA2A13794g	4103
gene-DEHA2A13816g	1228
gene-DEHA2A13838g	3482
gene-DEHA2A13860g	3575
gene-DEHA2A13882g	921
gene-DEHA2A13904g	7466
gene-DEHA2A13926g	2469
gene-DEHA2A13948g	827
gene-DEHA2A13970g	5008
gene-DEHA2A13992g	8573
gene-DEHA2A14014g	17211
gene-DEHA2A14036g	3187
gene-DEHA2A14058g	8365
gene-DEHA2A14080g	1943
gene-DEHA2A14102g	1118
gene-DEHA2A14124g	2938
gene-DEHA2A14146g	1295
gene-DEHA2A14168g	11819
gene-DEHA2A14190g	1632
gene-DEHA2A14212g	5183
gene-DEHA2A14234g	1211
gene-DEHA2A14256g	2451
gene-DEHA2A14278g	1270
gene-DEHA2A14300g	779
gene-DEHA2A14322g	110
gene-DEHA2A14344g	2145
gene-DEHA2A14366g	22411
gene-DEHA2A14388g	86933
gene-DEHA2A14410g	5653
gene-DEHA2A14498g	2
gene-DEHA2A14520g	44
gene-DEHA2A14542g	2520
gene-DEHA2A14586g	3206
gene-DEHA2A14608g	1828
gene-DEHA2A14630g	7
gene-DEHA2A14652g	560
gene-DEHA2A14674g	0
gene-DEHA2A14696g	31161
gene-DEHA2A14718g	1766
gene-DEHA2A14740g	22
gene-DEHA2A14762g	2
gene-DEHA2A14784g	2
gene-DEHA2A14806g	2
gene-DEHA2A14828g	0
gene-DEHA2B00110g	19649
gene-DEHA2B00132g	15572
gene-DEHA2B00154g	0
gene-DEHA2B00176g	37
gene-DEHA2B00198g	40
gene-DEHA2B00220g	306
gene-DEHA2B00242g	0
gene-DEHA2B00264g	2
gene-DEHA2B00286g	32
gene-DEHA2B00308g	181
gene-DEHA2B00330g	0
gene-DEHA2B00352g	323
gene-DEHA2B00374g	722
gene-DEHA2B00396g	1871
gene-DEHA2B00418g	602
gene-DEHA2B00440g	30
gene-DEHA2B00462g	88
