ProteinID	NaCl1
Q6BH76	420138.0313
Q6BH79	57328.42578
Q6BH80	0
Q6BH82	64581.09375
Q6BH87	46730.5625
Q6BH88	234361.1094
Q6BH89	30066.46289
Q6BH90	160605.7031
Q6BH91	43170.19141
Q6BH92	19804.22266
Q6BH93	191926.3125
Q6BH94	22936.97656
Q6BH95	383330.8125
Q6BH96	350189.0625
Q6BH97	202783.0625
Q6BH99	40902.47266
Q6BHA0	22818.82422
Q6BHA1	107408.1016
Q6BHA3	31073.74414
Q6BHA4	89966.79688
Q6BHA5	130552.9219
Q6BHA8	60467.66406
Q6BHA9	252756
Q6BHB1	53253.4375
Q6BHB2	8651834
Q6BHB3	8957.959961
Q6BHB4	23004.16992
Q6BHB5	3994163.75
Q6BHB8	204420.5156
Q6BHB9	403127.3125
Q6BHC1	337024.6563
Q6BHC2	82066.125
Q6BHC3	133170.125
Q6BHC4	13661.44531
Q6BHC6	310829.0313
Q6BHD1	291480.0938
Q6BHD2	49887.69922
Q6BHD9	401262.0938
Q6BHE0	63804.51563
Q6BHE2	157724.1563
Q6BHE4	19969.00977
Q6BHE5	48030.36719
Q6BHE6	20873.40039
Q6BHE9	296990.4063
Q6BHF1	372731
Q6BHF2	56453.25781
Q6BHF3	118575.5547
Q6BHF5	611876.625
Q6BHF8	129673.0156
Q6BHF9	76006.89063
Q6BHG3	364980.25
Q6BHG4	566262.5625
Q6BHG5	74892.25781
Q6BHG6	6444422
Q6BHG7	256235.9844
Q6BHG8	21549.53125
Q6BHH1	1428322.5
Q6BHH4	44603.59766
Q6BHH5	774768.875
Q6BHH6	273221.375
Q6BHH7	1797738.875
Q6BHH8	60288.03516
Q6BHH9	32157.46484
Q6BHI0	23656.99609
Q6BHI1	77055.73438
Q6BHI3	12636760
Q6BHI4	2677.38208
Q6BHI5	118926.1328
Q6BHI6	256783.0156
Q6BHI7	27948.97266
Q6BHI8	93300.8125
Q6BHJ0	15329.91602
Q6BHJ1	225972.5625
Q6BHJ2	131324.5313
Q6BHJ3	1299888.25
Q6BHJ6	20128.18555
Q6BHJ7	0
Q6BHJ8	173801.0781
Q6BHJ9	1994770.375
Q6BHK3	60103.55469
Q6BHK5	9571134
Q6BHK6	21702.04492
Q6BHK8	366560.8125
Q6BHK9	1325278.625
Q6BHL0	39211.8125
Q6BHL5	27300.57227
Q6BHL6	165332.0313
Q6BHL7	37634.72656
Q6BHL8	22641.72461
Q6BHL9	273970.0625
Q6BHM0	17990.89063
Q6BHM1	117625.3906
Q6BHM3	124037.875
Q6BHM7	125031.5469
Q6BHM8	14762.17285
Q6BHN1	274989.75
Q6BHN2	114630.6094
Q6BHN3	11282.19238
Q6BHN7	627170.1875
Q6BHN9	42824.4375
Q6BHP0	14327.10352
Q6BHP1	57960.98438
Q6BHP2	63107.37891
Q6BHP3	275734.5313
Q6BHP5	6302.668457
Q6BHP9	22158.74219
Q6BHQ1	160118.125
Q6BHQ2	71846.98438
Q6BHQ3	21880.83789
Q6BHQ4	39384.52344
Q6BHQ5	1366589.5
Q6BHQ6	322626
Q6BHQ8	143518.5625
Q6BHQ9	62467.38281
Q6BHR1	376364.9688
Q6BHR2	19596.49219
Q6BHR3	181316.6563
Q6BHR6	18875.37305
Q6BHR7	7800.534668
Q6BHR9	276258.9375
Q6BHS1	420073.7813
Q6BHS6	18220.02539
Q6BHS8	8339920
Q6BHS9	19914.54492
Q6BHT0	37574.07422
Q6BHT6	108150.5
Q6BHT9	30753.40039
Q6BHU0	197777.2031
Q6BHU1	5042.083984
Q6BHU2	61207.00391
Q6BHU3	38757.44141
Q6BHU5	488264.4375
Q6BHU6	35386.07422
Q6BHU7	8135646
Q6BHU9	65501.20313
Q6BHV0	87782.1875
Q6BHV3	119055.4766
Q6BHV6	10617630
Q6BHV7_Q6BX12	9944489
Q6BHV8	3914270
Q6BHV9	463772.5313
Q6BHW0	4119.814941
Q6BHW4	387086.1875
Q6BHW9	21576.11133
Q6BHX0	19039.46875
Q6BHX1	125564.2969
Q6BHX2	621702.875
Q6BHX3	70356.66406
Q6BHX4	25074.95703
Q6BHX6	40458.98047
Q6BHX7	190350.6563
Q6BHX9	2014625.75
Q6BHY0	9980874
Q6BHY3	57865.39063
Q6BHY5	887863.0625
Q6BHY7	717917.1875
Q6BHY8	2412438.25
Q6BHY9	103085.9922
Q6BHZ0	1004586.5
Q6BHZ3	27778.04883
Q6BHZ9	628244.25
Q6BI01	11561692
Q6BI05	787729.625
Q6BI06	33132.32813
Q6BI07	34997.02734
Q6BI10	128362.7031
Q6BI11	46305.10938
Q6BI13	554699.125
Q6BI14	590561.375
Q6BI15	95546.42969
Q6BI16	6578.263184
Q6BI17	62398.39844
Q6BI19	66419.52344
Q6BI20	23704878
Q6BI21	35653.35938
Q6BI22	318841.625
Q6BI23	111902.4063
Q6BI24	31209.46875
Q6BI26	37848.97266
Q6BI27	68127.09375
Q6BI28	4318.34668
Q6BI32	4654.942383
Q6BI33	982796.1875
Q6BI39	1655062.25
Q6BI41	9373.717773
Q6BI44	41197.89063
Q6BI46	5499190
Q6BI47	1301197.625
Q6BI49	2900.486328
Q6BI53	6439.617188
Q6BI54	14332.60449
Q6BI57	45814.13281
Q6BI59	70572.01563
Q6BI60	988577.125
Q6BI63	1054037.625
Q6BI65	238945.7031
Q6BI67	2133717.25
Q6BI68	70991.35156
Q6BI69	7396.937012
Q6BI71	13034.78516
Q6BI72	122563.8438
Q6BI75	4531356.5
Q6BI82	28148.15625
Q6BI87	0
Q6BI89	4219937
Q6BI90	247097.5625
Q6BI91	206806.5469
Q6BI94	146663.5625
Q6BI95	3676708.5
Q6BI96	167425.9219
Q6BI97	86397.35156
Q6BI98	93340.35938
Q6BI99	185142.7656
Q6BIA1	30355.24414
Q6BIA2	810916.3125
Q6BIA3	348014.25
Q6BIA5	3118.221436
Q6BIA6	35355.17188
Q6BIA9	259077.6875
Q6BIB2	163530.9063
Q6BIB3	37745.59375
Q6BIB4	523867.625
Q6BIB5	142990.625
Q6BIB6	31917.22461
Q6BIB9	48417.36719
Q6BIC0	1375510.625
Q6BIC2	20182.33789
Q6BID1	28972.41602
Q6BID3	713316.875
Q6BIE4	160935.5
Q6BIE5	76834.28906
Q6BIE6	236939.8906
Q6BIE7	111156.7266
Q6BIE8	164308.4063
Q6BIE9	8517.43457
Q6BIF2	999757.875
Q6BIF4	47865.28125
Q6BIF5	314647.5
Q6BIF6	0
Q6BIF8	21757.10156
Q6BIF9	371460.4063
Q6BIG0	306364.3438
Q6BIG1	53114.29297
Q6BIG3	187296.4375
Q6BIG8	13921.2334
Q6BIH0	42398.45703
Q6BIH2	533005.25
Q6BIH3	165585.0625
Q6BIH4	5167252.5
Q6BIH5	94298.14063
Q6BIH6	3119582
Q6BIH7	28979.85742
Q6BIH8	56617.23828
Q6BIH9	27438408
Q6BII1	9367.451172
Q6BII3	13691.50879
Q6BII4	7739.04248
Q6BII5	260010.9688
Q6BII6	120728.4766
Q6BII7	215594.5938
Q6BII8	27937.75391
Q6BII9	62809.46094
Q6BIJ0	32121.13086
Q6BIJ1	14045.30859
Q6BIJ2	24472.35156
Q6BIJ4	93005.16406
Q6BIJ5	379515.6875
Q6BIJ6	170339.1875
Q6BIJ9	24075.62109
Q6BIK0	166194.8438
Q6BIK3	46637.35156
Q6BIK4	1433936.5
Q6BIK6	61238.35156
Q6BIK7	14247.66895
Q6BIK8	51022.10938
Q6BIK9	9498462
Q6BIL0	405828.4375
Q6BIL1	104186.8828
Q6BIL2	5042219.5
Q6BIL3	109328.7266
Q6BIL4	54999.00781
Q6BIL7	602333.3125
Q6BIL9	435669.4375
Q6BIM1	224784.4219
Q6BIM2	9208.46875
Q6BIM3	230046.4531
Q6BIM4	1884508.375
Q6BIM5	1670564
Q6BIM6	68220.0625
Q6BIM7	43447.50781
Q6BIM8	115657.1719
Q6BIN0	0
Q6BIN1	168556.125
Q6BIN4	151721.7969
Q6BIN5	19625.38281
Q6BIN6	116914.0234
Q6BIN9	80563.41406
Q6BIP0	461330.0938
Q6BIP1	783656.5625
Q6BIP4	298454.9063
Q6BIP6	67015.79688
Q6BIP7	28757.89453
Q6BIP9	39060.58203
Q6BIQ0	172962.7656
Q6BIQ2	162526.3281
Q6BIQ4	43877.79688
Q6BIQ5	145695.8594
Q6BIQ7	61649.43359
Q6BIR1	491016.4063
Q6BIR2	135384.9063
Q6BIR5	95296.75
Q6BIR6	142476.6094
Q6BIR7	52786.3125
Q6BIR8	16726.60547
Q6BIR9	86692.03906
Q6BIS0	24522.73438
Q6BIS1	2479251.25
Q6BIS3	41601.43359
Q6BIS5	231720.3906
Q6BIS6	22189.37109
Q6BIS9	56237.3125
Q6BIT0	1709117
Q6BIT1	505853.0938
Q6BIT3	298041.1875
Q6BIT4	116370.7266
Q6BIT7	130383.7266
Q6BIT8	84556.92188
Q6BIU1	32540.5918
Q6BIU3	37760.69141
Q6BIU4	788601.375
Q6BIU5	4563.317383
Q6BIU6	100939.3047
Q6BIU7	130578.3125
Q6BIU8	206743.8281
Q6BIV0	15997.69043
Q6BIV1	44971.99609
Q6BIV2	3427728
Q6BIV3	90616.89844
Q6BIV8	72644.4375
Q6BIW4	441162.8125
Q6BIW5	209719.4844
Q6BIW6	239062.2031
Q6BIW8	319890.6875
Q6BIW9	65497.19922
Q6BIX0	1258922.875
Q6BIX1	27127.07031
Q6BIX4	58590.07031
Q6BIX5	357671.9375
Q6BIX6	1127871.75
Q6BIX9	13190.93945
Q6BIY1	7830.643555
Q6BIY6	210753.2813
Q6BIY8	904169.5625
Q6BIZ0	41457.46484
Q6BIZ9	824484.5
Q6BJ01	615445.8125
Q6BJ02	68395.20313
Q6BJ07	1414750.625
Q6BJ08	23996.22266
Q6BJ09	91067.85938
Q6BJ10	15315.32617
Q6BJ12	249342.1094
Q6BJ14	32987.50781
Q6BJ15	10670941
Q6BJ16	1469743.75
Q6BJ17	102222.1563
Q6BJ18	269449.5938
Q6BJ20	558730.4375
Q6BJ21	562333.75
Q6BJ23	4051314.75
Q6BJ24	7550940.5
Q6BJ25	11362862
Q6BJ27	14971.60449
Q6BJ28	203379.6094
Q6BJ31	769186.8125
Q6BJ32	542050.8125
Q6BJ33	37798.63672
Q6BJ34	64324.66016
Q6BJ38	29314.20313
Q6BJ40	268822.9063
Q6BJ43	98844.3125
Q6BJ44	66724.91406
Q6BJ47	137891.2656
Q6BJ49	160548.625
Q6BJ51	22186.25195
Q6BJ52	52063.54688
Q6BJ53	120918.1172
Q6BJ54	1213371
Q6BJ55	12583.86035
Q6BJ57	100974.3594
Q6BJ58	77407.16406
Q6BJ59	83138.82813
Q6BJ60	61335.35156
Q6BJ61	94163.8125
Q6BJ62	17073.17969
Q6BJ63	210600.1406
Q6BJ64	85729.21875
Q6BJ65	45760.78516
Q6BJ66	1458559.25
Q6BJ67	29800.22461
Q6BJ70	115500.2422
Q6BJ73	25445.51953
Q6BJ75	98976.84375
Q6BJ76	72798.69531
Q6BJ77	37321.11719
Q6BJ80	1150514.25
Q6BJ82	1257135.625
Q6BJ85	75318.75781
Q6BJ86	395148
Q6BJ88	427281.9375
Q6BJ89	83476.46094
Q6BJ90	58270.38281
Q6BJ93	203855.7344
Q6BJ95	1171978.875
Q6BJ97	14637.15234
Q6BJ98	195517.125
Q6BJA1	121144.8828
Q6BJA2	710211.8125
Q6BJA3	815277.1875
Q6BJA4	389572.6563
Q6BJA5	65097.27344
