ProteinID	Control5
Q6BGV9	12293.48145
Q6BGW0	247227.9063
Q6BGW1	26051.93945
Q6BGW2	3047803
Q6BGW3	80244.79688
Q6BGW8	34576.04297
Q6BGX2	108165.9141
Q6BGX6	107015.2344
Q6BGY4	8868988
Q6BGY7	3826.861816
Q6BGY8	60221.83203
Q6BGY9	83824.28125
Q6BGZ3	494768.7813
Q6BH03	291984.25
Q6BH10	1567002.5
Q6BH11	13466.84961
Q6BH12	469884.5625
Q6BH13	321895.0625
Q6BH16	56716.69531
Q6BH18	28215.68555
Q6BH19	12302.25586
Q6BH20	32329.54492
Q6BH22	256600.1406
Q6BH23	45385.75781
Q6BH29	12417.3125
Q6BH30	89001.1875
Q6BH32	10414.78711
Q6BH34	100583.7969
Q6BH36	9843.822266
Q6BH37	454282.375
Q6BH38	22560.96484
Q6BH39	50292.74609
Q6BH40	30072.79102
Q6BH41	193426.4844
Q6BH42	123393.5234
Q6BH47	21321.03906
Q6BH48	88665.17188
Q6BH50	114562.7422
Q6BH52	64752.58594
Q6BH53	133899.3438
Q6BH54	17188.10742
Q6BH55	16011.63086
Q6BH57	965917.9375
Q6BH63	28785.8418
Q6BH64	8942009
Q6BH67	45704.51172
Q6BH69	10381.98145
Q6BH70	9318.560547
Q6BH72	8874.18457
Q6BH75	721568.75
Q6BH76	351399.4688
Q6BH79	40115.30469
Q6BH80	1327732.625
Q6BH82	52774.69531
Q6BH87	64519.23438
Q6BH88	318862.375
Q6BH89	20967.2168
Q6BH90	79249.1875
Q6BH91	48167.25781
Q6BH92	28301.48438
Q6BH93	227697.4688
Q6BH94	44379.21094
Q6BH95	438681.5625
Q6BH96	329723.9688
Q6BH97	187804.0156
Q6BH99	16225.1543
Q6BHA0	25187.76367
Q6BHA1	118011.7813
Q6BHA3	31846.00391
Q6BHA4	71199.01563
Q6BHA5	70454.66406
Q6BHA8	43613.23047
Q6BHA9	183117.5625
Q6BHB1	65152.89844
Q6BHB2	7459782.5
Q6BHB3	6444.837891
Q6BHB4	32132.0957
Q6BHB5	4820629.5
Q6BHB8	188781.1719
Q6BHB9	339715.75
Q6BHC1	683738.0625
Q6BHC2	116301.1797
Q6BHC3	94153.59375
Q6BHC4	43716.24609
Q6BHC6	309699.75
Q6BHD1	266678.3438
Q6BHD2	17799.14844
Q6BHD9	636241.6875
Q6BHE0	30627.77148
Q6BHE2	134687.3438
Q6BHE4	26678.28906
