ProteinID	logFC	logCPM	F	PValue	FDR
Q6BZ60	3.01827428466301	4.28310068227296	52.9679186096922	6.8329176289322e-05	0.00319665291001732
Q6BMV4	0.931797879589592	6.10807207897158	52.6962396329324	6.96289409586081e-05	0.00321868068740804
Q6BV09	3.97721559108628	8.652651075469	52.4981091708047	7.20884833679112e-05	0.00324800073201441
Q6BQ38	1.37889157616577	9.55306981511451	52.1860168376992	7.21538376879345e-05	0.00324800073201441
Q6BJA5	-1.12682278256523	4.66195872100066	52.0643464431917	7.27726149073534e-05	0.00324800073201441
B5RV04	-2.53044788144566	3.5627577525459	51.8579910853678	7.38371866718399e-05	0.00325806586189493
B5RST7	1.76334952244379	7.26120202868016	51.6818767178381	7.47610526097839e-05	0.00326176592453698
Q6BIM7	1.0864596992237	3.6245807491346	51.3078411613864	7.67711862403369e-05	0.00331225017968031
Q6BVX9	-2.26755371376288	3.43813400400299	51.1413778716952	7.76873128085695e-05	0.00331494324874369
Q6BJ89	1.16936968853032	5.35390044377321	50.4603869530175	8.15792642214711e-05	0.00342549855288407
Q6BL72	1.01177904468325	4.23037673862957	50.3820050809374	8.20425870250369e-05	0.00342549855288407
Q6BIV2	1.10788771323566	9.99118566012627	50.1900679329092	8.31909940693613e-05	0.00343649606352479
Q6BUX1	0.825823258669405	5.96751305738542	49.7770699354187	8.57303993364607e-05	0.00346068097014899
Q6BVE2	1.49866268628792	3.76067910239528	49.7254126930984	8.60547464826009e-05	0.00346068097014899
B5RTJ6	-2.26364539350018	4.39161620149785	49.6627591747344	8.64501813300159e-05	0.00346068097014899
Q6BYM3	2.16891393624379	4.25349062229554	49.4794848946219	8.76199107919613e-05	0.00347171544495088
Q6BI87	-17.6287748312085	1.56460302448258	190.884228623101	9.09497475778012e-05	0.00356725121055154
Q6BL60	-1.23211066776423	7.14877560596437	48.5476648154322	9.38801005469879e-05	0.0035936869238012
Q6BYN7	-1.22116843872731	5.17765820189572	48.5055252522268	9.41760977228041e-05	0.0035936869238012
Q6BPB8	-1.26730578149853	5.83670084841106	48.4737267740329	9.44002230820815e-05	0.0035936869238012
Q6BS31	1.47817499651061	8.48752441908847	48.1214380548136	9.69280550800442e-05	0.00365409357160982
W0TYS3	1.70857024535246	9.3336845496335	47.7830709433301	9.94354616573458e-05	0.00371257593861033
Q6BUU5	1.75034866264368	10.7678132261311	47.4689934102381	0.000101835211691418	0.00376596311426455
B5RV55	1.34381909910324	3.91235907574356	46.6843154916932	0.000108151929497694	0.00396182964376929
