ProteinID,Control1,Control4,Control5,KCl2,KCl3,KCl4,NaCl1,NaCl2,NaCl3
Q6BMI2_3,0.0,3.939747029063835e-10,6.129057281527807e-10,5.334695452972638e-10,7.239921735617385e-10,2.3189359031141714e-10,4.4642006060165044e-10,4.86787162145382e-10,6.549581723689242e-10
Q6BMI2_4,0.0,6.586862702789596e-11,1.471231999003795e-10,1.0272691049523697e-10,0.0,0.0,1.0877439086824671e-10,0.0,1.3355459842024846e-10
Q6BMI2_5,0.0,0.0,0.0,2.774927216072795e-10,1.7429240055854535e-10,0.0,1.3406937898860915e-10,2.2528843227769283e-10,9.89502110586724e-11
Q6BMI4_0,0.0,2.1777210463997034e-10,1.6225960629468078e-10,0.0,8.723297458807674e-11,0.0,0.0,0.0,0.0
Q6BMI6_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.633612529485909e-11
Q6BMI7_0,4.917890208500736e-08,3.853893952119146e-08,3.3099796203998376e-08,7.165646595986835e-09,1.240210501357355e-08,5.660226178825092e-09,1.1512628811668284e-08,1.1002284998624064e-08,1.6538831340844727e-08
Q6BMI7_1,0.0,0.0,9.087187012562132e-10,0.0,0.0,0.0,0.0,0.0,3.6333959015992296e-10
Q6BMJ1_0,1.3047590324446936e-09,1.1308452490985921e-09,0.0,1.1162447627516924e-09,0.0,0.0,0.0,8.431219324866498e-10,0.0
Q6BMJ1_1,1.8835523930684806e-10,6.239785493104079e-11,2.377476199077366e-11,0.0,3.836158770525397e-11,7.841277266835668e-11,1.7741646661308195e-14,2.023346057571092e-11,3.3490542517960713e-11
Q6BMJ1_2,8.81214314122548e-09,0.0,1.5434177162267003e-08,0.0,1.95692853893505e-08,2.9729782225856242e-08,1.3381916425226623e-08,0.0,0.0
Q6BMJ1_3,0.0,1.7039308462970567e-08,0.0,2.876797602930879e-08,0.0,0.0,0.0,1.629909051274411e-08,1.5450738704571088e-08
Q6BMJ1_4,0.0,3.849050057392135e-10,3.101479197572266e-10,3.7225582272755565e-10,2.7080094335643644e-10,4.97584821451792e-10,2.347109141867578e-10,2.3086936977373073e-10,2.0108123016331548e-10
Q6BMJ1_5,0.0,1.2182913218063546e-10,1.055986689675514e-10,1.3345262573830615e-10,1.0172194766457829e-10,2.2143717765397298e-10,6.318577006029458e-11,1.0255880470107362e-10,1.242868647660833e-10
Q6BMJ1_6,0.0,0.0,0.0,0.0,9.933823761908134e-10,0.0,0.0,0.0,0.0
Q6BMJ1_7,0.0,6.372984639749584e-10,8.799211980917429e-10,2.637781515891124e-09,0.0,0.0,1.1872289967261843e-09,0.0,0.0
Q6BMJ1_8,0.0,4.4439731970317264e-10,0.0,0.0,0.0,0.0,0.0,0.0,8.096945641216104e-10
Q6BMJ1_9,0.0,0.0,0.0,9.962194238408823e-10,0.0,0.0,0.0,0.0,0.0
Q6BMJ1_10,0.0,1.1858294309646788e-11,4.303691637012376e-11,1.0440823969072921e-10,7.89981693040065e-11,1.5776716171287076e-10,5.953423510331523e-11,1.3626109006605352e-10,1.0385266209757572e-10
Q6BMJ1_11,0.0,1.5963828315517342e-11,3.965119427260454e-11,7.599437711525339e-11,1.591703755736575e-14,1.6739642270812456e-11,7.318998834484868e-12,5.795325784309403e-11,5.60963217190229e-11
Q6BMK0_0,2.6321365195841633e-08,9.493529572647002e-10,6.478686437014436e-10,1.873621811422696e-09,2.0258795045869865e-09,2.7587733997199392e-09,1.707294043596256e-09,2.3667026964352897e-09,1.7147765414320253e-09
Q6BMK0_1,0.0,9.934333630531228e-10,8.633116542701383e-10,7.799122658294697e-10,0.0,9.292733262970482e-10,0.0,0.0,0.0
Q6BMK0_2,3.972406105233605e-09,1.7262330014384045e-09,1.6863337984930249e-09,1.4884544522049053e-09,1.5726715797968419e-09,1.3676290592130767e-09,3.524449075855518e-09,1.5114474506778563e-09,1.8530057983188025e-09
Q6BMK0_3,8.716263741758903e-09,2.311983995775112e-09,1.8597373687457242e-09,1.8954448917578125e-09,1.670001777263845e-09,2.508575860676518e-09,2.569308677344414e-09,2.135205996575906e-09,1.9804833959900323e-09
